short_question,short_answer,tags,label
could clonazepam be causing nausea and dizziness or is it bupropion,hi the trouble with trapped wind is it stays trapped and the longer you leave it the more it hurts just please give it a try it might amaze you just how it works good luck,['nausea' 'dizziness'],-1.0
how many excedrins are safe to take in one day,the affordable care act does allow insurance companies to sell across state lines through interstate compacts which means states have to agree to the sale of insurance by out of state companies and in fact state exchanges may encourage more insurance companies to enter new markets thereby increasing competition and choice beyond what republicans claim will be the case under their proposal,[''],-1.0
do i have melanoma how likely is it that this is melanoma,you absolutely should not have sex until you have consulted your obgyn about this issue you should not have sex even if your partner is infection clears up because he can transmit herpes to you even if he has no visible sores genital herpes in an expectant mother can cause serious complications to the fetus including miscarriage and premature birth your doctor will have more specific information for you regarding what types of sexual activities you can be involved in during pregnancy and how to protect your baby is health wishing you well,['do i have melanoma skin cancer'],-1.0
what does ph balance mean,sex is really good anytime but in the later third trimester you may need to modify your usual activity and be more creative your ob can should be the one that gives you the yah or nah at this point,[''],-1.0
can any weight loss program increase blood pressure i went through edmark which gave me a weight loss program called power 4 slimming & health program 1 detox shake off phyto fiber 2 mrt complex fat burning 3 balancing splina liquid chlorophyll 4 rejuvenation edmark cafe & red yeast cofee for thanks shariff,this can occur due to improper diet try changing the food that you eat eat more of fresh fruits and salads drink large amount of water get urine culture done for organisms,[''],-1.0
overweight 5 year old girl,being overweight does not necessarily mean that a person over eats sometimes this is congenital and due to her hormonal structure she tends to be fat and overweight she can lose a lot of weight through exercises at this age thanks,['weight problems'],1.0
is garlic safe for my diabetic dog 8 year old bichon with atypical cushings and diabetes he takes 7 units of novalin insulin bid flax hull and melatonin 3mg bid sugars are consistantly high and is going blind,yes you can work out poison ivy cannot be spread to others from your skin but it would be courteous to keep in covered if you can hopefully you are under treatment for it,['garlic' 'diabetes' 'dog' 'insulin' 'flax'],-1.0
should you floss use mouthwash brush your teeth and use a whitener all in the same day,eggs are produced in the ovaries triggered by your hormones so yes your intact ovaries may still be producing ova you would have to discuss your intention to retrieve an egg for in vitro fertilization with a fertility specialist,['tooth'],-1.0
what problems are caused by having bad teeth,the major problem with having bad teeth is that it affects your quality of life it is difficult to chew properly and thus people who lose their teeth tend to have improper nutrition there have been numerous papers linking periodontal disease to heart disease and low birth weight in babies recently some even suggest that being edentulous no teeth is linked to a higher rate of dementia however i have never read of any evidence linking bad teeth to other conditions,['tooth'],1.0
the most effective skin care  i am for normal skincare but do not take my word for it try some out yourself study customer opinions and make your brain up next the most effective businesses may have a no risk assure you can send total or applied containers back and obtain a complete refund if you are not 100 pleased skin care>> <link>,please be respectful of this important webmd medical site by not posting advertisements,['skin' 'brain'],1.0
why would a healthy 83 year old woman have high blood pressue,hi there are many reasons for high blood pressure and these are some age the risk of developing high blood pressure increases as you get older a family history of high blood pressure the condition seems to run in families being of african or caribbean origin a high amount of salt in your food a lack of exercise being overweight smoking drinking large amounts of alcohol stress do you think these will help you good luck,['high blood pressure'],1.0
i have some scars in my nose that are irritating a lot of bleeding every day,try using mupirocin or bacitracin however u can use altargo if your doctor suggested that you use it even if it says do not most antibiotics have the same precautions followed by unless instructed by your doctor good luck,['a lot of bleeding every day'],1.0
my left side testicle is hurting and pissing blood,may be viral infection or malignancy get a high resolution scan and a ureteroscopy done immediately,['blood in sperm'],1.0
what will i do for health insurance if i had a stroke hbp am disabled and unemployed  how will i get health coverage,paget is disease is diagnosed based on the x ray appearance paget is disease might also be detected with other imaging tests such as a bone scan mri scan and ct scan alkaline phosphatase an enzyme that comes from bone is frequently elevated in the blood of people with paget is disease as a result of the abnormal bone turnover of actively remodeling bone this blood test is also referred to as the serum alkaline phosphatase sap and is used to monitor the results of treatment of paget is disease the bone scan is particularly helpful in determining the extent of the involvement of paget is disease as it provides an image of the entire skeleton bone that is affected by paget is disease can easily be identified with bone scanning images,[''],-1.0
why does my urine smell,hi so first just why did you marry her do you just want her as a baby machine do you love her did you not promise to obey her so has she said why i am pregnant just go off for a shag or is it just you you who cant keep his dick in his pants no if your the true husband who loves his wife then just do the right thing its called waiting and if your sexually frustrated then do what you did as a boy masturbate its what your right hand is for you may find this will help you good luck,['urination' 'smell'],-1.0
i suffer with headachesmigraines frequently,lipoma would never do so…migraine is your main trouble u need also to do cbc u need to rest as much as u can with low light when u have the attack is it something running in your family happened before to ur mum dad siblings to have migraine  try to avoid chocolates and stress … other wise u may need medicationswaiting ur reply,['i suffer with headaches/migraines frequently'],1.0
pregnancy tests were negative but i passed blood clots what could it be,as the pregnancy tests were negative even after eight days post missed menses it ensures that you are not pregnant the symptoms you had were common pms symptoms premenstrual syndrome which subsides slowly once the menses start there is a possibility that a large endometrial chunk would have got passed out during the start of the flow due to delayed menses this time so just allow the menses to continue and you should be fine the chunk was definitely not a gestational sac or pregnancy as the pregnancy tests were negative for further information consult an obstetrician and gynaecologist online   > <link>,['pregnancy'],1.0
could you explain these important health insurance dates for us    dec 23 2013 jan 1 2014 and march 31 2014,i recommend hystrectomy as this is a life threatening condition regarding the excess drinking of water i suggest to start by doing her random blood sugar is there increase in the frequency also she needs tonics – iron supplements  hope she gets better v soon,[''],-1.0
i swallowed a bing cherry seed should i do anything special or let nature take its course  i swallowed a bing cherry seed do i do anything special or let nature take its course,it depends on how the virus responds to early treatment when treatment fails to decrease the replication of the virus the effects can become life threatening and the infection can progress to aids even with treatment some people seem to naturally experience a more rapid course towards aids however the majority of hiv patients who receive appropriate treatment do well and live healthy lives for years,['swallow'],-1.0
i am 20 and i have missed a period is that normal  my period is usually irregular  once in 9th grade i missed it for 3 months i will be 20 next week and i have missed my period this month the first week of april i did a lot of workexercise that i do not usually do but i have not done it since then also about three weeks ago i completely cut caffeine from my diet cold turkey also i am a virgin i have never done anything sexual,that would be highly variable based on the type of anesthesia you had the amount of this drug that was used how long you were under anesthesia and of course your individual ability to clear the drugs from your system this is why people go to the recovery room to recover from the sometimes prolonged effects of the sedation,['period' 'irregularity' 'exercise' 'caffeine' 'diet'],-1.0
how effective is laser hair removal at treating keratosis pilarus especially on arms,there is really no good treatment for this genetic skin disorder some people have use desquamation solutions chemicals that peel the skin and topical steroids but in the end this skin condition not a disease will typically return i do not believe that using laser hair removal on keratosis will have any lasting benefits either and i do not believe that this is an approved or acceptable use of this device,['arm' 'hair' 'keratosis pilaris'],1.0
i would appreciate advice on a drug regimen that will restore serotonin while dealing with short term anxiety symptoms,probably i got pregnant 2 days after mine when it was supposed to be safe,['short-term anxiety symptoms'],-1.0
i was told my ongoing chest pain is not cardiac related need second opinion,well the results of tests are the main method of judging as they speak the reality of the case since then i believe your current problems are anxiety induced you should start relaxing the hniques yoga breathing exercises and just stay as healthy as you can,['i experienced a nstemi ha i had two stents fitted'],1.0
how is eczema diagnosed,to diagnose eczema doctors rely on a thorough physical examination of the skin as well as the patient is account of the history of the condition in particular the doctor will ask when the condition appeared if the condition is associated with any changes in environment or contact with certain materials and whether it is aggravated in any specific situations eczema may have a similar appearance to other diseases of the skin including infections or reactions to certain medications so the diagnosis is not always simple in some cases a biopsy of the skin may be taken in order to rule out other skin diseases that may be producing signs and symptoms similar to eczema if a doctor suspects that a patient has allergic contact dermatitis allergy tests possibly including a skin patch test  may be carried out in an attempt to identify the specific trigger of the condition there are no laboratory or blood tests that can be used to establish the diagnosis of eczema,['atopic dermatitis'],1.0
still have a painful lump on shin bone a month after hitting it hit shin bone on metal stairs a month has gone by and i have a painful lump where the bruse was,ouch so sorry to hear of your mishap while this certainly is not an emergency situation you might want to make an appointment with your primary care provider to get your shin lump evaluated a couple of things could be going on here that may or may not need to be treated it would not hurt to get your health care provider is opinion it is possible to bruise a bone especially in areas like the shin where the bone is not well protected by layers of muscle fat and skin it is possible to fracture or chip a bone by whacking it on a hard object too it is also possible with a very bad bruise for blood to collect and form a lump called a hematoma sometimes a health care provider will want to surgically drain or remove a hematoma so that it does not put pressure on a nerve or cause other problems at any rate since you still have a painful lump a month after injuring your shin it is well worth the time to have a health care provider check it out and make sure it is healing properly good luck to you,['shin' 'lump'],1.0
my daughter is 20 weeks pregnant and was accidently hit on the side of her stomach near hip is baby and uterus ok  it hurt for a minute when it happened she does not have any pain now just a little worried about baby and uterus being ok,she should be fine depends on the location and intensity of the hit to be on the safeside i would suggest she sees her dr to make sure the baby is fine,['pregnancy' 'stomach' 'uterus' 'pain' 'baby'],1.0
going on a long flight with a cold need to sleep sudafed with xanax or sudafed with nyquil  i have a cold and i am going on a very long flight i need to sleep would i be better off taking sudafed with xanax or sudafed with nyquil,you are bound to have some withdrawal symptoms you need to contact your doctor in advance and inform him about this home remedies may be harmful and should be avoided keep yourself well hydrated for next few days,['coldness'],-1.0
what should i do if i suspect an overdose of thyroid,generally pacemakers are covered by medicare but you must meet medical criteria in order for your care to be paid for i suggest you work with your physician to ensure that the treatment and devise you needed will be paid for you can also call medicare directly to get help determining what is covered 1 800 medicare,['drug overdose' 'thyroid'],-1.0
how do i start a conversation with a loved one is dr about simptoms of alzheimer  how can we get around hippa to get help for our loved ones if they need it,psoriasis if so not to worry it is quite treatable,[''],-1.0
does a baby always have a temperature with an ear infection,yes a baby can have an ear infection without a fever signs that might indicate an ear infection can include increased fussiness ear pulling not wanting to be placed in a horizontal position and drainage from the ear most commonly these symptoms can be seen toward the end of a head cold it is always great to check in with your doctor office when you have a concern    a traige nurse can often help you decide if you should come in to be checked out,['baby' 'temperature' 'ear infection'],1.0
how serious are pregnancy complications in terms of future risk for heart disease,“the at risk group now captures women with pregnancy complications such as preeclampsia gestational diabetes or pregnancy induced hypertension ” says [american heart association 2011] guideline chair lori mosca md phd mosca is director of preventive cardiology at new york presbyterian hospital and a professor of medicine at columbia university medical center in new york city “these complications are the equivalent of a failed stress test ” she says doctors use exercise stress tests to diagnose heart disease “if you do develop one of these conditions during pregnancy it is an unmasking of the risk that tells us your vascular system does not function ideally ” mosca says,['heart disease' 'pregnancy complications'],1.0
currently i have the pain in the chest and constantly hear the high pitched sound in my right ear,hi these symptoms seem to be related to right upper limb neuritis low b12 vitamin levels also cause neuritis in inner ear get vitamin b12 levels checked start on vitamin b12 supplements thanks,['constantly hear the high pitched sound in my right ear'],1.0
what causes peyronie is disease,the exact cause of peyronie is disease is unknown in people whose disease develops quickly lasts a short time and goes away without treatment the likely cause is trauma hitting or bending that causes bleeding inside the penis however in some people peyronie is disease develops slowly and is severe enough to require surgical treatment other possible causes of peyronie is disease include vasculitis this is an inflammation of blood or lymphatic vessels this inflammation can lead to the formation of scar tissue connective tissue disorders according to the national institutes of health about 30 of men with peyronie is disease also develop disorders that affect the connective tissue in other parts of their bodies such as the hands and feet these conditions generally cause a thickening or hardening of the connective tissue connective tissue is specialized tissue    such as cartilage bone and skin    that acts to support other body tissues heredity some studies suggest that a man who has a relative with peyronie is disease is at greater risk for developing the disease himself,[''],1.0
my skin is irritated after i treated a flea infestation in my hair with kerosene how can i reduce skin irritation,yes that would be frightening it is imperative that you see a medical provider so you can be properly examined so that a reason can be found it would not be possible to blindly determine a reason for these three events over the internet i suggest that you try and be seen today,['hair' 'skin'],-1.0
it burns a bit and there is a white milky fluid when i urinate from my penis,hi it is obviously you still have a severe mineral deficiency specially potassium drink plenty of water and get no less than 3 5 grams of k daily you can get them from beans dark leafy greens potatoes squash yogurt fish avocados mushrooms and bananas,['urination' 'burn' 'penis'],-1.0
is retin a micro used for reducing fine lines and wrinkles,hi morning here try putting some butter on her front paws tends to make them content but just a little but if you stop her going out your going to need a dirt box and see how she gets on with that hope this helps you good luck ps your 7 hours behind us here in greece,['wrinkle'],-1.0
would the arm of a 1yr old swell immedietely if it were broken,no the arm may or may not be swollen and the child could still have a fracture or dislocation,['arm' 'swelling'],1.0
does oxycontin contain sulfa,you will not permanently damage your vocal cords by trying to talk but it may take you longer to get better since talking does result in additional inflammation most cases of laryngitis assuming you were correctly diagnosed are viral and will resolve in a week or so stay well hydrated and humidify the air that you breathe humidifier or vaporizer,['oxycodone'],-1.0
why does the pain from frozen shoulder go down my arm and sometimes makes my hand tingle,maybe but there is a high failure rate for reattaching the tubes and your health insurance will not pay for this very very expensive surgical procedure that does not have any guarantees of success,['pain' 'frozen shoulder' 'arm' 'hand'],-1.0
are there any ointments that can speed up the healing process of genitle herpes already on 3 day valtrex should i be worried if it dosent clear up by then,there is a prescription acyclovir that can be used but your valtrex will likely do the job it will clear up but outbreaks can occur in the future,['healing' 'herpes'],1.0
lower back pain – what should i do,according to your complaints past history investigations and present condition you might have ibs c that is irritable bowel syndrome constipation type with differential diagnosis of intestinal motility disorder the latter condition produces symptoms of intestinal obstruction very similar for which you required hospitalization both antroduodenal and rectal manometry can be done only during endoscopy and colonoscopy respectively and if your doctor has a suspicion for motility disorder he can take biopsy tissue from a particular part of intestine during this you needed hospitalization because your symptoms your intestine movement were so worse and caused significant dilatation of intestines which itself hampers motility this requires aggressive treatment to decompress intestine to prevent blood supply movement and integrity of the intestinal wall the probable causesintestine dysmotility differential diagnosisprimary motility disorder of intestine treatment plansupportive medications need to be continued preventive measuresavoid constipation adequate amount of fluid intake and can try semi solid or crushed diet during active symptoms regarding follow upfor further information consult a medical gastroenterologist online    > <link>,['lower back pain'],-1.0
i am extremely agoraphobic despite help from my psychologist psychiatrist and medication why else can i do,chronic headache has many causes depends on their site in head and severity… for example chronic sinusitis causes frontal headache hypotension and anemia or hypertension in the middle if the skull cluster headache around the eyes migraine is half of the head pain get a cbc done try drinking plenty of water and getting good early breakfast,['drug'],-1.0
msra on the breast i got the mrsa infection from cleaning motel rooms when should i be able to go back to work do i need to worry about losing it,you may be able to go back to work now assuming that you are under the proper antibiotic treatment and your breast infection remains covered i assume it does  your doctor can release you when every thing is fine community acquired mrsa is very very treatable the hospital types are more difficult of course so with proper care you will be just fine i see mrsa patients nearly every week,['breast' 'methicillin resistant staphylococcus aureus'],1.0
should i be exercising if i have rheumatoid arthritis or just taking it easy most of the time,research has shown that moderate physical activity on a regular basis can help keep joints flexible longer as well as increase muscle strength and improve overall heart and lung health at the same time when a joint is inflamed    warm painful and swollen    rest will help reduce the inflammation talk to your doctor about which range of motion exercises should still be performed during this time to help preserve joint mobility once your flare recedes you should gradually resume a full exercise program as prescribed by your doctor,['rheumatoid arthritis' 'exercise'],1.0
should medical marijuana be used to treat anxiety disorder,you are correct no one really knows of e cigarettes are safe when you are pregnant for some strange reason pregnant women have not volunteered to find out if it will hurt the baby or not my advice no e cigarettes the baby does not need the nicotine and you do not need it either you need to just stop smoking period,['marijuana' 'anxiety'],-1.0
stabbing pain under rib cage stabbing pains right side under my ribs for several weeks started in july ct scan normal i eat healthy now it is accompanied with awful nausea and vomiting the nausea is constant i have vomited 20 times in 3 weeks not pregnant i have been to so many doctors and they are really not sure what is wrong all of the tests have came back normal ct scan with contrast blood work xrays ultrasound of gallbladder and hida scan for the hida scan gallbladder and small bowels normal and ef 68,it could be this i had some of those symptoms such as pain below the rib cage and vomiting i had multiple test done and then i went to the er and a doctor started at my rib cage pressing down firmly and worked his way down to my hips and it turned out that i had multiple compound stress fractures and torn it bands in both hips the pain in my rib cage and lower back was due to inflammation but non of my bone scans or cts showed my stress fractures i am not entirely sure,['gallbladder' 'ribcage' 'x-ray' 'nausea' 'healthy eating'],1.0
what should i do if i suspect an overdose of agesic,hi… this would be probably an abdominal muscle strain have you been coughing or sneezing vigorously recently or have you carried sth heavy if so then it is probably a muscle strain… u can use ice application for a few days then hot fomentsthe other possibility is an inflammation of the ascending colon or a spastic colon but this depends on your history whether you have complained from gastrointestinal disorder before ,['drug overdose'],-1.0
swollen upper eyelid on the right side of my right eye no itching burning discharge redness its just swollen  i am not sure it is something that i should be worried about or even how to fix it but i just woke up and realized my eye felt of swollen so i looked at it and it is huge and it is only the top eyelid i know i have not hits my eye on anything and i have not had any allergies in a few months,sounds like you may have the beginning stage of a sty stys are normally found under the eye lid or along the eye lash area when i get a sty i take a small amount of rice and put it into a baggie and place the open baggie with a wash cloth under the baggie into the microwave heat it for one minute remove the baggie and wash cloth seal the baggie then fold the wash cloth around the baggie this will be hot if you wish wrap another wash cloth around the baggie and first wash cloth to avoid burning yourself apply to your eye to help with the swelling and help the sty to come to a head so it can pop on it is own do not try and pop a sty as this could lead to infection and a longer period of time to heal allow the sty to pop on it is own always if need be see your doctor if the swelling gets worse or is still swollen for more than a week,['eyelid' 'eyes' 'burn' 'swelling' 'allergy'],1.0
i have a 2 5cm spot on my iliac bone should i be concerned and demand an mri,com it is mostly a hormonal disorder all metabolic disorders get your phosphorus calcium and parathyroid checked,['i have a 2.5cm spot on my iliac bone.'],1.0
my primary doctor diagnosed me with anxiety disorder and prescribed xanax and zoloft why do i still have panic attacks,i am a firm believer in a conservative approach to everything and i do not feel that a diagnosis of an anxiety disorder necessarily requires medication it may require medication but first i believe other things should be attempted first i think you should look at any stress you may have in your life because there may be something that is causing you stress and which can be bringing this on have you considered what might be happening in your life lately remember stress builds up over time so it may be something that has been something about which you were unaware as to how much it was affecting you the medication you were given although originally formulated to treat depression is now used for panic attacks since anxiety and panic attacks usually also have a component of depression these medications have been found effective there are of course other older medications which can be just as effective it looks like your doctor was providing bridge therapy which means he was providing the xanax to help you until the other medication was fully effective research indicates that panic disorder may happen as we reach later midlife even though we have never had them before this may be a function of our changing biology and nothing more it may also however reflect the change in stressors in our life as we age for that reason i suggest you look at your lifestyle and see if there might be something that is distressing for you,['anxiety' 'panic attack'],1.0
i do not eat meat that often but my skin smells terrible what can i do,most body odor is caused by an accumulation of bacteria on the surface of the skin in general this problem can usually be improved with the use of natural cleansers while bathing there are also certain medical conditions    diabetes liver disease and infections for instance    that may contribute to body odor a balanced diet is critical to your well being imbalances in your nutritional intake may lead to an accumulation of unfriendly bacteria within your digestive system,['skin' 'smell' 'meat'],1.0
i am beginning to notice that i am losing strength in my hands things fall out of them what is wrong with me  if i am holding on to something and apply medium low pressure it slips out my hands or i just can not maintain grip when i become upset or angry my hands swell up noticeably and the condition worsens i am 31 years old 32 in january hispanic 61 255 lbs heart disease and diabetes run in my family please tell me what could be wrong with me  ,hi do go see your doctor for a blood test for your hormones it could be your going through the change yes the menopause may have court up with you but a blood test will tell all hope this helps you good luck,['hand' 'pressure' 'grip' 'running' 'anger'],-1.0
my son is on antibotics for staph 5 days now can he swim in our pool,hi simple just get into meditation this will help relax you with the breathing you have to do and its all drug free and you can learn how all through the internet good luck ps just google anxiety and meditation your see then,['staph infection' 'antibiotic'],-1.0
is it true that the hepatitis c virus cannot survive for more than two hours outside the human body,no the hepatitis c virus is transmitted from person primarily though not exclusively in blood products primarily by the transfer of blood between intravenous drug abusers who share needles in blood    inside or out of the body    the virus can live for weeks months and even years that is why hepatitis c was a problem related to blood transfusion until tests were developed to diagnose its presence in blood so that persons or units of blood for transfusion that were infected with the virus could be detected,['hepatitis c' 'virus'],1.0
i am in my late 50 is and have implants my right breast hurts when touched in one spot should i be worried  i have not had any injuries to my breast,i am sorry to hear you are going through this it can not hurt to get an opinion about your breast pain from a plastic and reconstructive surgeon preferably the one who performed the original procedure while it is likely the cause of the pain is simply scar tissue that has developed over the years it could be something else and that is why getting an examination is the first step in figuring out what is causing your pain as you probably know all breast implants run the risk of becoming somewhat stiff and hard over the years as a result of encapsulation by fibrous tissue as time goes on this tissue can cause pain due to pulling on adjacent tissue or the breast implant itself and of course breast implants do not in any way protect against breast cancer any woman with cosmetic breast implants should receive the same routine mammograms as a woman with natural breasts if you can not see the surgeon who performed the original surgery you can always start by seeing your family doctor or primary care provider he or she will do an initial evaluation and get you off to see a specialist if needed wishing you well,['breast' 'injury'],1.0
what happens to someone when they get influenza,influenza  flu  usually comes on suddenly in many cases people can pinpoint the hour when symptoms started symptoms develop 1 to 4 days after you are infected and they include fever which lasts for about 3 days fever is usually slightly lower on the 2nd and 3rd days but may last up to 8 days cough runny nose and sore throat which become more noticeable as fever and other symptoms decrease these symptoms usually last 3 to 4 days after the fever goes down a dry hacking cough may linger for up to 10 days after other symptoms are gone complete recovery may take 1 to 2 weeks or longer fatigue and weakness can last for several weeks complications of influenza may develop in anyone but they are much more likely in older adults and people who have other health problems especially heart and lung diseases webmd medical reference from healthwise this information is not intended to replace the advice of a doctor healthwise disclaims any liability for the decisions you make based on this information © 1995 2011 healthwise incorporated healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated,['flu'],1.0
can i take imodium daily for reoccurring diarrhea,hi if you suffering from reoccurring diarrhoea its best you see your doctor and get sorted out if your stools are the colour of clay it could be your gallbladder has stones and no bile is getting through this also causes diarrhoea and other problems so doctor asap hope this helps you good luck,['diarrhea'],1.0
i had my tubes tied in 2001 in april may june and july i missed my period since then light spotting should i worry  also having sparatic nausea stomache bloating fatigue mood swings,if you are sick with a fever you should wait and get your flu shot at a later date if it is just a cold or other type of mild illness you can receive the flu shot,['mood swing' 'nausea' 'bloating' 'fatigue' 'spotting'],-1.0
i have or think i have parkinsons disease when should i contact my doctor,call or other emergency services immediately if you have sudden weakness numbness loss of balance altered speech or vision problems these could be signs of a stroke the symptoms of parkinson is disease develop slowly over months if you think you may have symptoms of parkinson is disease see your doctor urgent medical care is not needed if you have had a tremor for some time however you should discuss the tremor at your next doctor is appointment if a tremor is affecting your daily activities or if it is a new symptom see your doctor sooner if you have been diagnosed with parkinson is disease call your doctor if you notice any significant change in your symptoms such as severe episodes of freezing a sudden loss of mobility which may affect walking your response to your medicine changes any other complications occur you have symptoms of depression you or your family notice that you have problems with memory and thinking ability if you have been diagnosed with parkinson is disease you will need to see members of your health care team regularly every 3 to 6 months or as directed for adjustments in your treatment as your condition changes watchful waiting if you notice a tremor developing watch and record its development discuss it with your doctor at the next possible opportunity a written description will help your doctor make a correct diagnosis in writing your description consider the following questions did the tremor start suddenly or gradually what makes it worse or better what parts of your body are affected have there been any recent changes in the medicines you are taking or how much you are taking for more questions that will help your doctor make an accurate diagnosis read about medical history and parkinson is disease who to see the following health professionals can help diagnose or treat parkinson is disease family doctor internist neurologist other health professionals who may be involved in your care include physical therapist occupational therapist speech therapist to prepare for your appointment see the topic making the most of your appointment webmd medical reference from healthwise this information is not intended to replace the advice of a doctor healthwise disclaims any liability for the decisions you make based on this information © 1995 2011 healthwise incorporated healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated,"['""parkinsons disease""']",1.0
i have a lump on my armpit it is growing and irritating,no you do not have to do anything if you have insurance and you are happy with it there is no need to shop on the marketplace for different coverage,['lump on my armpit'],-1.0
bump on the inside of a males thigh popped this am puss came out this evening only blood comes out woke up this am with a bump on the inside of thigh popped it and puss came out came home this evening complaining about how bad it hurts i put a warm wash cloth on it and insisted i try and pop it like this morning but only blood comes out now you can feel its kind of tuff ish around the bump i personally feel like its an ingrown hair because hair grows a little in that area but it is a common area where thighs & pants rub a lot of that spot so his skin is really soft there,go to healthcare gov and call the 800 number to discuss your situation and to get personalized assistance,[''],-1.0
is avinza a narcotic medication,i suggest that you cleanse your face twice daily with soap and water pack a pre moistened cleansing pad if you will not be around a water basin throughout the day shower or bathe in tepid water rather than steaming hot water hot water can strip your skin of needed moisture while cold water can shock your skin avoid using cleansers or toners that tend to over dry skin or have high alcohol content this over drying actually causes your skin to produce even more oil than usual use only noncomedogenic moisturizers and sunscreen products this means they are oil free and will not clog pores use vitamin a derivatives or retinoids which reduce production in oil glands and shrink their size,['morphine' 'narcotic' 'drug'],-1.0
after being sick i feel like i have hair stuck in my throat and i have a tiny knot under my chin what could this be  ii was sick 4 weeks ago with coldsinus issues but it cleared up i feel like i constantly have to clear my throat and brush my teeth nothing makes the feeling in the back of my throat go away,could be an allergic reaction to something maybe a medicine you have been taking hair in your throat feeling do you have pets in your home at all if so you may really have a piece of hair in your throat i have before and took some time before it came out i can not take zyrtec makes my allergies worse some things to think about dry mouth try salt water not really sure just some ideas to throw out there,['hair' 'sinus' 'throat' 'tooth' 'coldness'],1.0
can i buy tetracycline over the counter is there an equal to tetracycline that i can buy over the counter,i would recommend seeing a fertility specialist in your area who may be able to suggest advice options and ferility treatment,['over the counter'],-1.0
i had energy supplements now feeling dizzy and passed out today,some of it the lungs are part of your respiratory tract but most snorted drugs go into your nose,['energy supplements'],-1.0
my psa and free psa have been rising but not consistently,recontinuing the anticoagulants is a must with close monitoring for pt ptt and inrbest regards,['psa and free psa'],-1.0
finished my breast cancer treatment joints in my finger are red and swollen it wakes me up all night from painful numbness,epidermal andor dermal problems,['finger are red and swollen'],-1.0
i am confused about modified adjusted income  is every cent pulled from retirement accounts added back in or just the taxable amount,it is essentially your taxable income you can confirm the income that will be counted by checking your tax form here is where to look if you use form 1040 ez   line 4 form 1040a   line 22 form 1040   line 37,[''],1.0
does using nictone products decrease cholesterol levels,hi this feels like renal colic u may have renal stones once the stone starts to pass down the ureters you get this kind of severely colicky stabbing pain you should get a usg abdomen done as early as possible to see what was wrong once you have a diagnosis in hand you can take preventive measures so that this wont happen to you again take anti spasmodic analgesics to relieve pain thanks,['cholesterol'],-1.0
at what age is the penis it is permanent size for those with low testosterone at 17 can creme spur growth  i am just 17 and am well into puberty i have long had pubic hair my facial hair is existant chest hair is starting to grow sporadically and slowly and pimples still pop up i seemed to have stop growing height wise 5 9 130 lbs penis size is a problem for me though i am afraid i have low testosterone though that is just a hunch would testosterone  creme or a hefty workout regiment to spur the release of testosterone help my penis grow or is the pemanent size likely already reached,i had the same thing and still have it and they itch i went to my dermatologist they took a biopsy of one of the sore that was sticking out like a bump when i went back to her she told me i had archival hives probably spelled it wrong they are under your skin and then they start coming out there is nothing you can do for them bot go to a dermatologist they can give you a itch cream and a pill to stop the itching i do not know if that is what you have but it sounds like it only a doctor can tell,['penis'],-1.0
what if you are a veteran and have veteran health care do you need to get health insurance through the marketplaces,if you have va coverage nothing changes for you as a result of the affordable care act you do not need to concern yourself with the new marketplaces or the search for another plan you will stay with your current coverage,[''],1.0
is dark chocolate good for 8 month old baby,an eight month old baby needs a proper balanced diet and should still be on formula or breast milk as part of their daily intake of all the foods a baby should eat dark chocolate or any chocolate for that matter is not one of them there is plenty of time when the child is much older to introduce a little bit of chocolate for pleasure not nutrition,['baby' 'dark chocolate'],1.0
how long does pravastatin stay in your system after you stop taking the medication  i am interested in becoming pregnant again i have stopped taking my pravastatin and want to know when it is safe to try and conceive,there are more than 4 000 chemicals in cigarette smoke some of them are also in wood varnish the insect poison ddt arsenic nail polish remover and rat poison the ashes tar gases and other poisons in cigarettes harm your body over time they damage your heart and lungs they also make it harder for you to taste and smell things and fight infections,['pregnancy'],-1.0
hompathic cure for trichomoniasis are there medicated douches that can cure trichomoniasis or other home remedies  ,hi if the above medicines are not providing relief then you should go for a short course of steroids with potent nsaids injectable analgesics can be taken intramuscularly for severe pain consult er to avoid things getting worse thanks,['trichomoniasis'],-1.0
what is a weight loss exercise for people with arthritis in feet ankles and disc herniation in neck and low back  swimming irritates the neck and pain shoots down my arms walking in good sneakers pains my feet and ankles which have arthritis i can stretch but that is not enough to lose weight,likely yes you will qualify for a subsidy you can check exactly what you will qualify for by beginning the shopping process at healthcare gov,['weight loss' 'exercise' 'arthritis' 'foot' 'ankle'],-1.0
is it safe to have another baby after i delivered three by c section,you can certainly consider having another infant however all the information in our literature would tell you not to consider having an attempt at a vaginal birth you are at too high a risk to consider this i think of myself as very progressive and will always consider a vbac for patients but not someone like you the issue for you becomes the more cs you have the higher the risk of possible placental abnormalities if the placenta lies over the cervix called a placenta previa with the number of cs you have had there could be a significant problem that could occur called a placenta accreta you should always discuss with your health care provider your concerns,['cesarean section' 'baby'],1.0
